Date,ADVANC.BK,AOT.BK,AWC.BK,BANPU.BK,BBL.BK,BDMS.BK,BEM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CCET.BK,CENTEL.BK,COM7.BK,CPALL.BK,CPF.BK,CPN.BK,CRC.BK,DELTA.BK,EGCO.BK,GPSC.BK,GULF.BK,HMPRO.BK,IVL.BK,KBANK.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,OR.BK,OSP.BK,PTT.BK,PTTEP.BK,PTTGC.BK,RATCH.BK,SCB.BK,SCC.BK,SCGP.BK,TCAP.BK,TIDLOR.BK,TISCO.BK,TLI.BK,TOP.BK,TRUE.BK,TTB.BK,TU.BK,VGI.BK,WHA.BK
2017-07-01,134.01129150390625,48.20222473144531,,8.554957389831543,130.45211791992188,15.786829948425293,6.617578983306885,147.56419372558594,38.73164749145508,6.731452941894531,60.237239837646484,1.8491874933242798,38.34568405151367,4.608095645904541,53.555572509765625,19.116945266723633,59.31394577026367,,7.8075337409973145,155.24766540527344,29.234668731689453,,7.7642035484313965,28.95558738708496,142.2535858154297,39.746124267578125,12.49205493927002,8.418630599975586,5.6374945640563965,38.34299087524414,33.39631652832031,,,25.595788955688477,57.008880615234375,53.124549865722656,33.48363494873047,,380.6202392578125,,25.525131225585938,,39.1121826171875,,58.4246711730957,5.068820476531982,1.4824491739273071,14.291424751281738,4.585893154144287,2.237755060195923
2017-08-01,135.45611572265625,51.0101203918457,,9.23725414276123,134.0858612060547,17.27459144592285,6.882282257080078,183.8227996826172,41.24397277832031,6.770589828491211,60.02056121826172,1.9084569215774536,38.34568405151367,5.289291858673096,54.65753936767578,21.17629051208496,61.447532653808594,,7.829525947570801,166.6420135498047,29.61433982849121,,7.8426313400268555,30.31592559814453,148.53489685058594,41.83019256591797,12.906158447265625,10.043278694152832,5.468369483947754,36.07417297363281,31.76152992248535,,,26.32144546508789,56.684959411621094,56.64150619506836,34.568748474121094,,376.10693359375,,24.99056625366211,,39.64252471923828,,64.21603393554688,5.023963451385498,1.4824491739273071,13.939419746398926,4.872612476348877,2.340808868408203
2017-09-01,140.60986328125,55.22196578979492,,9.23725414276123,135.53936767578125,16.943979263305664,7.10286808013916,182.19061279296875,44.32193374633789,6.831326484680176,76.0217056274414,2.1256263256073,41.874427795410156,5.449573516845703,58.845008850097656,21.191377639770508,66.56817626953125,,7.675574779510498,167.3541259765625,35.54325866699219,,9.568011283874512,33.233238220214844,152.96878051757812,41.53246307373047,12.975174903869629,9.536896705627441,5.808920860290527,36.981693267822266,32.929229736328125,,,27.461660385131836,58.994850158691406,58.346435546875,34.02739715576172,,382.66473388671875,,26.05968475341797,,40.83576965332031,,63.023704528808594,5.472531318664551,1.5829540491104126,14.313921928405762,5.094094753265381,2.620528221130371
2017-10-01,143.1864776611328,55.689945220947266,,9.344970703125,141.78785705566406,17.633296966552734,6.936331272125244,186.42759704589844,44.95210266113281,6.791377067565918,91.92310333251953,2.101471424102783,43.05067825317383,6.210911273956299,61.710121154785156,20.59722900390625,67.84833526611328,,7.565609931945801,166.28048706054688,46.878684997558594,,10.164414405822754,36.18292999267578,162.95803833007812,46.41254425048828,12.561074256896973,11.604628562927246,6.395678997039795,39.25051498413086,36.66588592529297,,,28.26936149597168,56.85258102416992,60.61966323852539,35.29352951049805,,375.011474609375,,29.267032623291016,,46.536869049072266,,70.66114044189453,5.517389297485352,1.620643973350525,13.097236633300781,5.44846773147583,2.826637029647827
2017-11-01,128.46290588378906,58.26385498046875,,9.131370544433594,146.56312561035156,17.716468811035156,7.069723129272461,169.05592346191406,48.73311996459961,6.591629981994629,72.5364761352539,1.872000813484192,50.34341812133789,6.6116156578063965,64.3548355102539,18.695945739746094,68.7017593383789,,7.41165828704834,155.4360809326172,42.267662048339844,,10.005596160888672,38.542686462402344,168.14309692382812,46.106197357177734,13.320256233215332,14.13654899597168,6.160976409912109,39.47739791870117,36.19880294799805,,,27.730894088745117,60.14838409423828,60.24080276489258,35.29352951049805,,364.2969055175781,,30.622852325439453,,46.802032470703125,,64.42633819580078,5.11367654800415,1.758838176727295,13.168807983398438,5.581357002258301,2.8708035945892334
2017-12-01,140.60986328125,63.64565658569336,,10.41296672821045,148.3997344970703,17.383766174316406,6.847404479980469,160.15823364257812,55.45492935180664,6.631580829620361,70.35818481445312,1.799535870552063,54.81315994262695,6.531474590301514,67.88113403320312,19.012826919555664,72.7555923461914,,6.443963527679443,156.15907287597656,55.33221435546875,,10.164414405822754,41.885684967041016,171.8466796875,48.557029724121094,13.251241683959961,15.69789981842041,6.160976409912109,39.70427703857422,36.19880294799805,,,29.615514755249023,65.91603088378906,64.40840911865234,34.34393310546875,,370.41943359375,,30.622852325439453,,46.93461990356445,,71.70028686523438,5.562244892120361,1.8970324993133545,14.242350578308105,5.8028388023376465,2.9807791709899902
2018-01-01,141.71414184570312,66.43168640136719,,12.175161361694336,152.07302856445312,17.965999603271484,6.891868591308594,166.09007263183594,48.313018798828125,6.431833744049072,71.88298034667969,1.7029166221618652,48.69667053222656,6.9722490310668945,70.30546569824219,18.695945739746094,70.83536529541016,,6.773859977722168,157.60499572753906,63.977874755859375,,11.276147842407227,44.048789978027344,170.36526489257812,50.08878707885742,13.803376197814941,20.255355834960938,6.806413650512695,39.93115234375,39.93545913696289,,,33.11553192138672,78.44007110595703,72.93305206298828,34.660457611083984,,376.5420837402344,,32.119972229003906,,46.93461990356445,,71.00753021240234,6.055669784545898,1.8216534852981567,14.814910888671875,5.7142462730407715,3.1447224617004395
2018-02-01,145.76309204101562,67.1434555053711,,12.548958778381348,155.0115966796875,18.381879806518555,6.491694927215576,174.56402587890625,49.99346160888672,6.6422038078308105,57.506378173828125,1.3164390325546265,48.22616958618164,7.73358678817749,74.0521469116211,18.141407012939453,71.90215301513672,,5.982110023498535,172.06414794921875,56.86922073364258,,11.434966087341309,42.47562026977539,171.8466796875,47.7911376953125,14.010428428649902,22.365285873413086,6.454356670379639,36.75481414794922,40.40253448486328,,,38.23094177246094,76.13301849365234,75.2062759399414,33.71086883544922,,375.011474609375,,30.35065269470215,,46.93461990356445,,71.35391998291016,5.65195894241333,1.8844691514968872,14.385492324829102,5.980024814605713,3.0702033042907715
2018-03-01,153.12486267089844,64.05912017822266,,10.840166091918945,144.7265167236328,19.546340942382812,6.358303070068359,180.49581909179688,47.89289474487305,6.805202007293701,55.54594039916992,1.2318974733352661,46.344173431396484,7.613375186920166,77.57844543457031,20.003082275390625,66.56817626953125,,5.982110023498535,167.7263946533203,59.02756881713867,,11.276147842407227,45.03201675415039,157.03233337402344,44.880775451660156,13.044190406799316,25.90997314453125,6.160976409912109,34.7128791809082,35.965267181396484,,,37.154014587402344,77.27474212646484,71.60698699951172,33.850643157958984,,382.66473388671875,,29.26183319091797,,47.597537994384766,,65.92616271972656,6.3696675300598145,1.6080807447433472,13.526655197143555,6.9470295906066895,2.7870283126831055
2018-04-01,153.12486267089844,67.61795806884766,,10.359567642211914,141.78785705566406,18.90361785888672,6.891868591308594,162.31967163085938,50.203521728515625,7.294198513031006,47.42115783691406,1.279529094696045,49.40241622924805,7.533233642578125,76.69685363769531,19.329708099365234,70.10113525390625,,6.116987228393555,163.65725708007812,58.63922119140625,,11.911423683166504,47.39176940917969,144.8104705810547,45.1871452331543,12.561074256896973,30.88941764831543,6.454356670379639,36.52793502807617,34.09694290161133,,,38.858734130859375,90.4350814819336,76.18290710449219,33.850643157958984,,358.1741638183594,,29.26183319091797,,47.06721115112305,,67.7225112915039,6.8490071296691895,1.4824491739273071,13.0997953414917,6.857965469360352,2.9509716033935547
