Date,SET_Index_BH,Equal_Weight,Static_MVO_Lambda_2,Voter_Moderate,Voter_Aggressive,Stacking_Moderate,Stacking_Aggressive
2013-01-07,-0.007876201130964544,0.010259470176105994,0.020517636026598216,0.019651613790439608,0.01965168943691787,0.019651613790439608,0.01965168943691787
2013-01-14,0.012193335127860028,0.021517251340137253,0.01437087958146422,0.014370879581464237,0.013807343966456527,0.014370879581464237,0.013807343966456527
2013-01-21,0.013699484990743915,0.022060376177623443,0.0265762764710157,0.026576276471015688,0.026513106913588127,0.026576276471015688,0.026513106913588127
2013-01-28,0.021844725422302202,0.021917427182135414,0.036528220292572,0.03652822029257202,0.03858605925938596,0.03652822029257202,0.03858605925938596
2013-02-04,-0.00738504216995195,0.018004783547667567,0.04201854275443006,0.042018397897431524,0.04202104211466709,0.042018397897431524,0.04202104211466709
2013-02-11,0.01365737947079615,0.0232123853985978,0.04304905762673169,0.04304910545888337,0.04304905734920552,0.04304910545888337,0.04304905734920552
2013-02-18,0.01069012457205809,0.013352581101855755,0.014439583675809019,0.014602413248013226,0.014602413248013226,0.014602413248013226,0.014602413248013226
2013-02-25,0.0004743613632511856,0.0032883921918362897,-0.0032595466362630755,-0.0032595318071272747,-0.003259734717489251,-0.0032595318071272747,-0.003259734717489251
2013-03-04,0.017236150348478585,0.03473667709775848,0.039943159909778134,0.03994305095758843,0.04056797812211406,0.03994305095758843,0.04056797812211406
2013-03-11,0.01527879745601024,0.007726140851070134,0.0024063733296091766,0.002406358841894697,0.002406358841894697,0.002406358841894697,0.002406358841894697
2013-03-18,-0.06915107718886082,-0.07956422638191378,-0.07874511881663032,-0.08350867529938766,-0.08760871417992114,-0.08350867529938766,-0.08760871417992114
2013-03-25,0.0448233334708652,0.050698339358702514,0.057053798165999925,0.05705379816599988,0.053673366065761716,0.05705379816599988,0.053673366065761716
2013-04-01,-0.04682886362145089,-0.057514350968407846,-0.08069526833964322,-0.0810869528340124,-0.08231223268254304,-0.0810869528340124,-0.08231223268254304
2013-04-08,0.022275110677385523,0.030844292076860794,0.049443846237871764,0.049443846237871764,0.04383907067802612,0.049443846237871764,0.04383907067802612
2013-04-15,0.01520708755293576,0.013987111861066315,0.024410242757351916,0.02441024275735192,0.019627390440259296,0.02441024275735192,0.019627390440259296
2013-04-22,0.01567536330506103,0.012546236284803875,0.0240189542294065,0.024018954229406603,0.016635408077805013,0.024018954229406603,0.016635408077805013
2013-04-29,-0.007018403935888817,-0.014524633303266157,-0.00893982901382694,-0.006117668578347632,-0.0067980763994331325,-0.006117668578347632,-0.0067980763994331325
2013-05-06,0.0222406567391511,0.01887378849851852,0.014077239332562674,0.014077239332562675,0.018046720291920292,0.014077239332562675,0.018046720291920292
2013-05-13,0.003934437434916838,0.002658286471068578,0.01446292732532555,0.019323238891156547,0.019323238891156547,0.019323238891156547,0.019323238891156547
2013-05-20,-0.018009201023847288,-0.01594953859941157,-0.014720391980247459,-0.01169027999435413,-0.011691098440639603,-0.01169027999435413,-0.011691098440639603
2013-05-27,-0.022435476538447463,-0.01933348958408427,-0.009345752722524718,-0.009345608379183223,-0.009345734801619827,-0.009345608379183223,-0.009345734801619827
2013-06-03,-0.025871995219172272,-0.04047137996068761,-0.05267267933830835,-0.05575409450186028,-0.05606630589348533,-0.05575409450186028,-0.05606630589348533
2013-06-10,-0.0444493924028283,-0.0570866635262976,-0.06562771148825672,-0.065627689855699,-0.0656277270337062,-0.065627689855699,-0.0656277270337062
2013-06-17,-0.04736316152418296,-0.06878852689026561,-0.09182723713959745,-0.09234970747400016,-0.09234951395642783,-0.09234970747400016,-0.09234951395642783
2013-06-24,0.04491578537327956,0.048108267620869206,0.06971660962235991,0.06971660962235991,0.0648043401031196,0.06971660962235991,0.0648043401031196
2013-07-01,-0.015995831095010904,-0.004788035121007756,-0.019457900968609297,-0.015741188599666812,-0.015740029407269,-0.015741188599666812,-0.015740029407269
