Date,Regime_ID,Regime_Label
8/3/2015,1,Bull
8/10/2015,0,Sideways
8/17/2015,2,Bear
8/24/2015,2,Bear
8/31/2015,0,Sideways
9/7/2015,1,Bull
9/14/2015,0,Sideways
9/21/2015,1,Bull
9/28/2015,0,Sideways
10/5/2015,0,Sideways
10/12/2015,0,Sideways
10/19/2015,1,Bull
10/26/2015,0,Sideways
11/2/2015,1,Bull
11/9/2015,0,Sideways
11/16/2015,1,Bull
11/23/2015,0,Sideways
11/30/2015,0,Sideways
12/7/2015,2,Bear
12/14/2015,2,Bear
12/21/2015,1,Bull
12/28/2015,0,Sideways
1/4/2016,2,Bear
1/11/2016,2,Bear
1/18/2016,1,Bull
1/25/2016,1,Bull
2/1/2016,1,Bull
2/8/2016,0,Sideways
2/15/2016,1,Bull
2/22/2016,1,Bull
2/29/2016,1,Bull
3/7/2016,0,Sideways
3/14/2016,0,Sideways
3/21/2016,1,Bull
3/28/2016,0,Sideways
4/4/2016,0,Sideways
4/11/2016,1,Bull
4/18/2016,1,Bull
4/25/2016,1,Bull
5/2/2016,1,Bull
5/9/2016,0,Sideways
5/16/2016,1,Bull
5/23/2016,1,Bull
5/30/2016,1,Bull
6/6/2016,1,Bull
6/13/2016,0,Sideways
6/20/2016,1,Bull
6/27/2016,1,Bull
7/4/2016,0,Sideways
7/11/2016,1,Bull
7/18/2016,0,Sideways
7/25/2016,1,Bull
8/1/2016,0,Sideways
8/8/2016,0,Sideways
8/15/2016,0,Sideways
8/22/2016,0,Sideways
8/29/2016,0,Sideways
9/5/2016,2,Bear
9/12/2016,2,Bear
9/19/2016,1,Bull
9/26/2016,0,Sideways
10/3/2016,1,Bull
10/10/2016,2,Bear
10/17/2016,1,Bull
10/24/2016,1,Bull
10/31/2016,1,Bull
11/7/2016,0,Sideways
11/14/2016,1,Bull
11/21/2016,1,Bull
11/28/2016,0,Sideways
12/5/2016,1,Bull
12/12/2016,1,Bull
12/19/2016,1,Bull
12/26/2016,1,Bull
1/2/2017,1,Bull
1/9/2017,0,Sideways
1/16/2017,1,Bull
1/23/2017,1,Bull
1/30/2017,1,Bull
2/6/2017,0,Sideways
2/13/2017,1,Bull
2/20/2017,1,Bull
2/27/2017,0,Sideways
3/6/2017,0,Sideways
3/13/2017,1,Bull
3/20/2017,0,Sideways
3/27/2017,0,Sideways
4/3/2017,0,Sideways
4/10/2017,0,Sideways
4/17/2017,1,Bull
4/24/2017,1,Bull
5/1/2017,0,Sideways
5/8/2017,0,Sideways
5/15/2017,0,Sideways
5/22/2017,1,Bull
5/29/2017,1,Bull
6/5/2017,1,Bull
6/12/2017,0,Sideways
6/19/2017,0,Sideways
6/26/2017,1,Bull
7/3/2017,1,Bull
7/10/2017,0,Sideways
7/17/2017,1,Bull
7/24/2017,0,Sideways
7/31/2017,1,Bull
8/7/2017,1,Bull
8/14/2017,0,Sideways
8/21/2017,0,Sideways
8/28/2017,1,Bull
9/4/2017,1,Bull
9/11/2017,1,Bull
9/18/2017,0,Sideways
9/25/2017,0,Sideways
10/2/2017,1,Bull
10/9/2017,0,Sideways
10/16/2017,0,Sideways
10/23/2017,1,Bull
10/30/2017,1,Bull
11/6/2017,1,Bull
11/13/2017,1,Bull
11/20/2017,1,Bull
11/27/2017,0,Sideways
12/4/2017,1,Bull
12/11/2017,0,Sideways
12/18/2017,1,Bull
12/25/2017,0,Sideways
1/1/2018,1,Bull
1/8/2018,0,Sideways
1/15/2018,0,Sideways
1/22/2018,0,Sideways
1/29/2018,1,Bull
2/5/2018,1,Bull
2/12/2018,1,Bull
2/19/2018,1,Bull
2/26/2018,0,Sideways
3/5/2018,0,Sideways
3/12/2018,1,Bull
3/19/2018,1,Bull
3/26/2018,0,Sideways
4/2/2018,0,Sideways
4/9/2018,1,Bull
4/16/2018,1,Bull
4/23/2018,0,Sideways
4/30/2018,0,Sideways
5/7/2018,0,Sideways
5/14/2018,1,Bull
5/21/2018,1,Bull
5/28/2018,1,Bull
6/4/2018,0,Sideways
6/11/2018,1,Bull
6/18/2018,2,Bear
6/25/2018,2,Bear
7/2/2018,1,Bull
7/9/2018,1,Bull
7/16/2018,1,Bull
7/23/2018,1,Bull
7/30/2018,0,Sideways
8/6/2018,1,Bull
8/13/2018,1,Bull
8/20/2018,0,Sideways
8/27/2018,0,Sideways
9/3/2018,0,Sideways
9/10/2018,1,Bull
9/17/2018,1,Bull
9/24/2018,0,Sideways
10/1/2018,0,Sideways
10/8/2018,0,Sideways
10/15/2018,0,Sideways
10/22/2018,2,Bear
10/29/2018,1,Bull
11/5/2018,0,Sideways
11/12/2018,0,Sideways
11/19/2018,1,Bull
11/26/2018,1,Bull
12/3/2018,1,Bull
12/10/2018,0,Sideways
12/17/2018,0,Sideways
12/24/2018,0,Sideways
12/31/2018,0,Sideways
1/7/2019,1,Bull
1/14/2019,1,Bull
1/21/2019,1,Bull
1/28/2019,1,Bull
2/4/2019,1,Bull
2/11/2019,1,Bull
2/18/2019,0,Sideways
2/25/2019,1,Bull
3/4/2019,1,Bull
3/11/2019,1,Bull
3/18/2019,1,Bull
3/25/2019,0,Sideways
4/1/2019,0,Sideways
4/8/2019,0,Sideways
4/15/2019,0,Sideways
4/22/2019,1,Bull
4/29/2019,0,Sideways
5/6/2019,1,Bull
5/13/2019,0,Sideways
5/20/2019,0,Sideways
5/27/2019,0,Sideways
6/3/2019,1,Bull
6/10/2019,0,Sideways
6/17/2019,1,Bull
6/24/2019,0,Sideways
7/1/2019,1,Bull
7/8/2019,0,Sideways
7/15/2019,1,Bull
7/22/2019,1,Bull
7/29/2019,0,Sideways
8/5/2019,1,Bull
8/12/2019,0,Sideways
8/19/2019,0,Sideways
8/26/2019,1,Bull
9/2/2019,1,Bull
9/9/2019,1,Bull
9/16/2019,0,Sideways
9/23/2019,0,Sideways
9/30/2019,0,Sideways
10/7/2019,0,Sideways
10/14/2019,0,Sideways
10/21/2019,0,Sideways
10/28/2019,0,Sideways
11/4/2019,1,Bull
11/11/2019,0,Sideways
11/18/2019,1,Bull
11/25/2019,1,Bull
12/2/2019,0,Sideways
12/9/2019,1,Bull
12/16/2019,1,Bull
12/23/2019,0,Sideways
12/30/2019,1,Bull
1/6/2020,1,Bull
1/13/2020,1,Bull
1/20/2020,0,Sideways
1/27/2020,0,Sideways
2/3/2020,1,Bull
2/10/2020,1,Bull
2/17/2020,0,Sideways
2/24/2020,2,Bear
3/2/2020,2,Bear
3/9/2020,2,Bear
3/16/2020,2,Bear
3/23/2020,2,Bear
3/30/2020,2,Bear
4/6/2020,2,Bear
4/13/2020,2,Bear
4/20/2020,1,Bull
4/27/2020,1,Bull
5/4/2020,0,Sideways
5/11/2020,0,Sideways
5/18/2020,1,Bull
5/25/2020,1,Bull
6/1/2020,0,Sideways
6/8/2020,2,Bear
6/15/2020,2,Bear
6/22/2020,2,Bear
6/29/2020,2,Bear
7/6/2020,0,Sideways
7/13/2020,0,Sideways
7/20/2020,1,Bull
7/27/2020,0,Sideways
8/3/2020,0,Sideways
8/10/2020,0,Sideways
8/17/2020,0,Sideways
8/24/2020,1,Bull
8/31/2020,0,Sideways
9/7/2020,0,Sideways
9/14/2020,0,Sideways
9/21/2020,2,Bear
9/28/2020,1,Bull
10/5/2020,1,Bull
10/12/2020,0,Sideways
10/19/2020,1,Bull
10/26/2020,0,Sideways
11/2/2020,0,Sideways
11/9/2020,0,Sideways
11/16/2020,1,Bull
11/23/2020,1,Bull
11/30/2020,1,Bull
12/7/2020,1,Bull
12/14/2020,0,Sideways
12/21/2020,2,Bear
12/28/2020,2,Bear
1/4/2021,2,Bear
1/11/2021,1,Bull
1/18/2021,1,Bull
1/25/2021,2,Bear
2/1/2021,1,Bull
2/8/2021,0,Sideways
2/15/2021,1,Bull
2/22/2021,1,Bull
3/1/2021,0,Sideways
3/8/2021,1,Bull
3/15/2021,1,Bull
3/22/2021,0,Sideways
3/29/2021,0,Sideways
4/5/2021,0,Sideways
4/12/2021,1,Bull
4/19/2021,0,Sideways
4/26/2021,1,Bull
5/3/2021,1,Bull
5/10/2021,2,Bear
5/17/2021,1,Bull
5/24/2021,1,Bull
