Date,SET_return,SET_lag_1,SET_lag_2,SET_lag_3,SET_lag_4,SET_lag_5,SET_lag_6,SET_lag_7,SET_lag_8,SET_lag_9,SET_lag_10,SET_lag_11,SET_lag_12,SET_OH_lag_1,SET_OL_lag_1,SET_MACD_lag_1,SET_MACD_Hist_lag_1,SET_RSI_lag_1,SET_MFI_lag_1,SET_ATR_lag_1,SET_OBV_lag_1,LeadingEconomicIndex,AuthorizedCapitalofNewlyRegisteredCompanies,ConstructionAreasPermitted,Exports,NumberofForeignTourists,MoneySupply
2016-01-01,0.006949649008865104,0.0019428497310647528,-0.0007498986247295145,0.002533715538900557,-0.003005160182406003,0.010617414059344962,0.011249597763782608,-0.003735001964562247,0.00027411541540403627,0.004062593215923048,0.0024532648062686067,-0.0024670357874693937,-0.006486451996147955,0.007223788053285174,-0.00017891673373128557,-0.264060276342711,-1.4846901694971002,-1.114519504581312,-0.7118241499575977,0.19373719301682468,-1.9293487156795892,-0.5019765644590773,0.9000885439567359,-2.0532008765519265,2.2154982077985714,2.2150598495592106,-1.7448552426382806
2016-02-01,-0.007522136866582571,0.006949649008865104,0.0019428497310647528,-0.0007498986247295145,0.002533715538900557,-0.003005160182406003,0.010617414059344962,0.011249597763782608,-0.003735001964562247,0.00027411541540403627,0.004062593215923048,0.0024532648062686067,-0.0024670357874693937,0.006972730801638202,-0.00367555494760481,-0.4284784386947961,-1.4900444346959516,-0.9887274037353551,-1.094983493020429,0.17950273727948898,-1.6272597943298217,-0.22540545456426908,0.022668293959230725,-2.254407035674924,2.266477785312286,2.336310543322425,-1.6950382934959987
2016-03-01,0.0006039868781121535,-0.007522136866582571,0.006949649008865104,0.0019428497310647528,-0.0007498986247295145,0.002533715538900557,-0.003005160182406003,0.010617414059344962,0.011249597763782608,-0.003735001964562247,0.00027411541540403627,0.004062593215923048,0.0024532648062686067,0.0011241101241088588,-0.008122787684375549,-0.5024454978708319,-1.3094652018504072,-0.6852316228804844,-0.8387036363569503,-0.1600807224690553,-1.386491274170469,-0.2205955222182768,-0.18363230825915072,-2.3311239170144837,2.4281158829366034,2.445790716742367,-1.6698581352931163
2016-04-01,0.003894746925807436,0.0006039868781121535,-0.007522136866582571,0.006949649008865104,0.0019428497310647528,-0.0007498986247295145,0.002533715538900557,-0.003005160182406003,0.010617414059344962,0.011249597763782608,-0.003735001964562247,0.00027411541540403627,0.004062593215923048,0.004305370788163446,-0.0034462170671884767,-0.43452501661236304,-0.8750141305495974,-0.03461607812878971,-0.9752110423599255,-0.2368211098774929,-1.1426544622647152,-0.27831471037023187,-0.009397265143480724,-2.152183176930195,2.297558449306955,2.4195042344497226,-1.6454685928512833
2016-05-01,-0.0021111253179108753,0.003894746925807436,0.0006039868781121535,-0.007522136866582571,0.006949649008865104,0.0019428497310647528,-0.0007498986247295145,0.002533715538900557,-0.003005160182406003,0.010617414059344962,0.011249597763782608,-0.003735001964562247,0.00027411541540403627,0.003894746925807436,-0.003508290539893502,-0.3814609214243777,-0.5578165386075968,-0.059371064547108665,-1.5676594284174152,-0.23545537155674867,-1.4996182518963674,-0.6366546701469838,-0.5033728741977699,-2.30085257662165,2.315076075140836,2.379150295741888,-1.6074602635338169
2016-06-01,-0.003840434152168376,-0.0021111253179108753,0.003894746925807436,0.0006039868781121535,-0.007522136866582571,0.006949649008865104,0.0019428497310647528,-0.0007498986247295145,0.002533715538900557,-0.003005160182406003,0.010617414059344962,0.011249597763782608,-0.003735001964562247,0.0007003831190296627,-0.004986944540203704,-0.30429017773850436,-0.2547896485660136,0.10724898656329862,-0.23913410459267903,-0.5739353403897994,-1.1580837595560944,-0.8987959830038017,-0.2968752841312199,-2.4221170916778325,2.287853863368549,2.40900168321992,-1.6550974943299168
2016-07-01,-0.001992697996558756,-0.003840434152168376,-0.0021111253179108753,0.003894746925807436,0.0006039868781121535,-0.007522136866582571,0.006949649008865104,0.0019428497310647528,-0.0007498986247295145,0.002533715538900557,-0.003005160182406003,0.010617414059344962,0.011249597763782608,0.0010541525207575226,-0.009607894986731964,-0.20745100144770065,0.02782991906604255,0.2823376456845728,-0.09435712398389229,-0.5621701138887015,-0.7847153617324302,-0.6775390950879523,-0.3289899720977431,-2.1567683864330123,2.33061634097475,2.3758644333058676,-1.5966621422231555
2016-08-01,0.0017581324049257558,-0.001992697996558756,-0.003840434152168376,-0.0021111253179108753,0.003894746925807436,0.0006039868781121535,-0.007522136866582571,0.006949649008865104,0.0019428497310647528,-0.0007498986247295145,0.002533715538900557,-0.003005160182406003,0.010617414059344962,0.002119400736930633,-0.0033452145865211402,-0.0030804460912119786,0.47369663684116,0.8788654849381982,0.38039389451553296,-0.29854029933284165,-0.40317192005532393,-0.3384388646951899,-0.4062847914472039,-2.218022082611668,2.332593634811296,2.5114789245844373,-1.555677470378281
2016-09-01,-0.001758140608493873,0.0017581324049257558,-0.001992697996558756,-0.003840434152168376,-0.0021111253179108753,0.003894746925807436,0.0006039868781121535,-0.007522136866582571,0.006949649008865104,0.0019428497310647528,-0.0007498986247295145,0.002533715538900557,-0.003005160182406003,0.0019324988647020263,-0.0043374353802382885,0.1958297100936122,0.8192301269005239,1.042058746754093,0.37212970675770507,-0.2563088492119457,-0.09324113559456662,-0.2999594059272176,-0.2761575477831945,-2.1256796582655615,2.332600251153396,2.4224189862081302,-1.5383992812880798
2016-10-01,0.0011237904125664451,-0.001758140608493873,0.0017581324049257558,-0.001992697996558756,-0.003840434152168376,-0.0021111253179108753,0.003894746925807436,0.0006039868781121535,-0.007522136866582571,0.006949649008865104,0.0019428497310647528,-0.0007498986247295145,0.002533715538900557,0.002903312847383188,-0.004289642329268151,0.24509103540855737,0.7898068217677621,0.407922752079448,0.35216294941651954,-0.3215994764356262,-0.33983728983099304,-0.12680184147133872,-0.17498562822827177,-1.8789405212592802,2.332606867495496,2.430626412605098,-1.5434659317843524
